影片名称,评分,地区,类型,信息连接,图片连接
鬼子来了,9.2,大陆,喜剧,https://movie.douban.com/subject/1291858/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1181775734.jpg
狐妖小红娘剧场版：王权富贵,9.2,大陆,喜剧,https://movie.douban.com/subject/26946612/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2409467410.jpg
齐天乐,9.2,大陆,喜剧,https://movie.douban.com/subject/11498192/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1625056904.jpg
花为媒,9.1,大陆,喜剧,https://movie.douban.com/subject/2357317/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173058450.jpg
一磅肉,9.1,大陆,喜剧,https://movie.douban.com/subject/3543679/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2342489640.jpg
红娘,9.0,大陆,喜剧,https://movie.douban.com/subject/4728534/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2223210236.jpg
如此爹娘,9.0,大陆,喜剧,https://movie.douban.com/subject/3032535/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2323730451.jpg
小捣蛋,9.7,美国,喜剧,https://movie.douban.com/subject/4714058/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2217061102.jpg
威尔和格蕾丝 告别秀,9.6,美国,喜剧,https://movie.douban.com/subject/2263259/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2408281629.jpg
演员工作室：老爸老妈的浪漫史,9.5,美国,喜剧,https://movie.douban.com/subject/25855990/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2176444996.jpg
Wattstax,9.6,美国,喜剧,https://movie.douban.com/subject/1975692/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2374623518.jpg
绿日乐队：圣经上的子弹演唱会,9.5,美国,喜剧,https://movie.douban.com/subject/2052209/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510821205.jpg
怪诞小镇特别篇：松林之间,9.5,美国,喜剧,https://movie.douban.com/subject/26744258/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2324315416.jpg
